symbol,security_id,name,exchange_segment
360ONE,13061,360 ONE WAM Ltd.,NSE_EQ
3MINDIA,474,3M India Ltd.,NSE_EQ
AADHARHFC,23729,Aadhar Housing Finance Ltd.,NSE_EQ
AARTIIND,7,Aarti Industries Ltd.,NSE_EQ
AAVAS,5385,Aavas Financiers Ltd.,NSE_EQ
ABB,13,ABB India Ltd.,NSE_EQ
ABBOTINDIA,17903,Abbott India Ltd.,NSE_EQ
ABCAPITAL,21614,Aditya Birla Capital Ltd.,NSE_EQ
ABDL,24308,Allied Blenders and Distillers Ltd.,NSE_EQ
ABFRL,30108,Aditya Birla Fashion and Retail Ltd.,NSE_EQ
ABLBL,756843,Aditya Birla Lifestyle Brands Ltd.,NSE_EQ
ABREL,625,Aditya Birla Real Estate Ltd.,NSE_EQ
ABSLAMC,6018,Aditya Birla Sun Life AMC Ltd.,NSE_EQ
ACC,22,ACC Ltd.,NSE_EQ
ACE,13587,Action Construction Equipment Ltd.,NSE_EQ
ACMESOLAR,27061,ACME Solar Holdings Ltd.,NSE_EQ
ACUTAAS,5578,Acutaas Chemicals Ltd.,NSE_EQ
ADANIENSOL,10217,Adani Energy Solutions Ltd.,NSE_EQ
ADANIENT,25,Adani Enterprises Ltd.,NSE_EQ
ADANIGREEN,3563,Adani Green Energy Ltd.,NSE_EQ
ADANIPORTS,15083,Adani Ports and Special Economic Zone Ltd.,NSE_EQ
ADANIPOWER,17388,Adani Power Ltd.,NSE_EQ
AEGISLOG,40,Aegis Logistics Ltd.,NSE_EQ
AEGISVOPAK,757336,Aegis Vopak Terminals Ltd.,NSE_EQ
AFCONS,25977,Afcons Infrastructure Ltd.,NSE_EQ
AFFLE,11343,Affle 3i Ltd.,NSE_EQ
AIAENG,13086,AIA Engineering Ltd.,NSE_EQ
AIIL,23553,Authum Investment & Infrastructure Ltd.,NSE_EQ
AJANTPHARM,8124,Ajanta Pharmaceuticals Ltd.,NSE_EQ
ALKEM,11703,Alkem Laboratories Ltd.,NSE_EQ
AMBER,1185,Amber Enterprises India Ltd.,NSE_EQ
AMBUJACEM,1270,Ambuja Cements Ltd.,NSE_EQ
ANANDRATHI,7145,Anand Rathi Wealth Ltd.,NSE_EQ
ANANTRAJ,13620,Anant Raj Ltd.,NSE_EQ
ANGELONE,324,Angel One Ltd.,NSE_EQ
ANTHEM,757885,Anthem Biosciences Ltd.,NSE_EQ
ANURAS,2829,Anupam Rasayan India Ltd.,NSE_EQ
APARINDS,11491,Apar Industries Ltd.,NSE_EQ
APLAPOLLO,25780,APL Apollo Tubes Ltd.,NSE_EQ
APOLLOHOSP,157,Apollo Hospitals Enterprise Ltd.,NSE_EQ
APOLLOTYRE,163,Apollo Tyres Ltd.,NSE_EQ
APTUS,5435,Aptus Value Housing Finance India Ltd.,NSE_EQ
ARE&M,100,Amara Raja Energy & Mobility Ltd.,NSE_EQ
ASAHIINDIA,5378,Asahi India Glass Ltd.,NSE_EQ
ASHOKLEY,212,Ashok Leyland Ltd.,NSE_EQ
ASIANPAINT,236,Asian Paints Ltd.,NSE_EQ
