year,company,listing_date,issue_price,listing_return_pct
2016,Narayana Hrudayalaya,2016-01-06,250.0,34.7
2016,Precision Camshafts,2016-02-08,186.0,-4.5
2016,TeamLease Services,2016-02-12,850.0,20.3
2016,Quick Heal,2016-02-18,321.0,-20.9
2016,HealthCare Global,2016-03-30,218.0,-21.5
2016,Bharat Wire Ropes,2016-04-01,45.0,1.2
2016,Infibeam,2016-04-04,432.0,3.1
2016,Equitas Holdings,2016-04-21,110.0,22.9
2016,Thyrocare Technologies,2016-05-09,446.0,38.7
2016,Ujjivan Financial Services,2016-05-10,210.0,10.2
2016,Parag Milk Foods*,2016-05-19,203.0,21.6
2016,Mahanagar Gas,2016-07-01,421.0,23.5
2016,Quess Corp,2016-07-12,317.0,58.7
2016,L&T Infotech*,2016-07-21,710.0,-0.3
2016,Advanced Enzymes,2016-08-01,896.0,31.4
2016,Dilip Buildcon,2016-08-11,219.0,14.9
2016,SP Apparels,2016-08-12,268.0,7.7
2016,RBL Bank,2016-08-31,225.0,33.0
2016,L&T Technology Services,2016-09-23,860.0,1.0
2016,GNA Axles,2016-09-26,207.0,18.3
2016,ICICI Prudential Life Insurance,2016-09-29,334.0,-10.9
2016,HPL Electric,2016-10-04,202.0,-6.2
2016,Endurance Technologies,2016-10-19,472.0,37.0
2016,PNB Housing Finance,2016-11-07,775.0,14.9
2016,Varun Beverages,2016-11-08,445.0,3.2
2016,Sheela Foam,2016-12-09,730.0,41.3
2016,Laurus Labs,2016-12-19,428.0,12.2
2017,BSE Limited,2017-02-03,806.0,32.7
2017,Music Broadcast,2017-03-17,333.0,12.0
2017,Avenue Supermarts,2017-03-21,299.0,114.6
2017,CL Educate,2017-03-31,502.0,-15.9
2017,Shankara Building Products,2017-04-05,460.0,37.5
2017,S Chand & Company,2017-05-09,670.0,0.9
2017,IRB InvIT Fund,2017-05-18,102.0,-0.2
2017,HUDCO*,2017-05-19,60.0,25.1
2017,PSP Projects,2017-05-29,210.0,-5.0
2017,Indigrid InvIT Fund,2017-06-06,100.0,-1.4
2017,Tejas Networks,2017-06-27,257.0,2.5
2017,Eris Lifesciences,2017-06-29,603.0,-0.2
2017,CDSL,2017-06-30,149.0,75.6
2017,GTPL Hathway,2017-07-04,170.0,1.0
2017,AU Small Finance Bank,2017-07-10,358.0,51.3
2017,Salasar Techno Engineering,2017-07-25,108.0,143.1
2017,SIS India,2017-08-10,815.0,-7.1
2017,Cochin Shipyard*,2017-08-11,411.0,28.5
2017,Apex Frozen Foods,2017-09-04,175.0,21.2
2017,Dixon Technologies,2017-09-18,1766.0,63.7
2017,Bharat Road Network,2017-09-18,205.0,1.7
2017,Matrimony.com*,2017-09-21,898.0,0.7
2017,Capacit’e Infraprojects,2017-09-25,250.0,37.0
2017,ICICI Lombard,2017-09-27,661.0,3.1
2017,SBI Life Insurance,2017-10-03,700.0,1.1
2017,Prataap Snacks,2017-10-05,938.0,25.9
2017,Godrej Agrovet,2017-10-16,460.0,29.5
2017,MAS Financial Services,2017-10-18,459.0,42.6
2017,Indian Energy Exchange,2017-10-23,1650.0,-1.3
2017,GIC*,2017-10-25,867.0,0.8
2017,Reliance Nippon Life Asset Management,2017-11-06,252.0,12.9
2017,MahindraLogistics,2017-11-10,429.0,0.1
2017,New India Assurance*,2017-11-13,770.0,-5.6
2017,Khadim India,2017-11-14,750.0,-8.2
2017,HDFC Standard Life Insurance,2017-11-17,290.0,18.8
2017,Shalby,2017-12-15,248.0,-3.4
2017,Future Supply Chain Solutions,2017-12-18,664.0,3.4
2017,Astron Paper & Board,2017-12-29,50.0,141.5
2018,Apollo Microsystems,2018-01-22,275.0,60.65
2018,Newgen Software,2018-01-29,245.0,3.02
2018,Amber Enterprises,2018-01-30,859.0,44.97
2018,Galaxy Surfactants,2018-02-08,1480.0,14.9
2018,Aster DM Healthcare,2018-02-26,190.0,-4.45
2018,HG Infra Engineering,2018-03-09,270.0,-0.83
2018,Bharat Dynamics,2018-03-23,428.0,-8.93
2018,Bandhan Bank,2018-03-27,375.0,27.16
